STATION,ICAO
BC ENTRANCE IL AUTO,CWEL
BC ESQUIMALT METOC,CWPF
BC ESTEVAN PT. (MAR,CWEB
BC FANNY ISLAND,CXFA
BC FORT NELSON AIRP,CYYE
BC FORT ST. JOHN AR,CYXJ
BC GOLDEN ARPT,CYGE
BC GREEN ISLAND (MT,CWNJ
BC GREY ISLET (MAPS,CWEK
BC HELMCKEN ISL(MAP,CWXM
BC HERBERT ISL (MAP,CWLP
BC HOLBERG CCR,CWXH
BC HOLLAND ROCK(AUT,CWHL
BC HOPE AIRPORT (MA,CYHE
BC HOPE SLIDE,CWKV
BC HORSEFLY RIVER,CWFR
BC HOSKINS ISLET,CWZK
BC ISKUT RIVER(AUTO,CWIO
BC IVORY ISLAND,CWJG
BC KAMLOOPS AIRPORT,CYKA
BC KAMLOOPS,CZKA
BC KELOWNA APT,CYLW
BC KELP REEFS,CWZO
BC KINDAKUN ROCKS(A,CWQS
BC LANGARA,CWJU
BC LANGARA,CWLA
BC LUCY ISL (LGT H),CWLC
BC LYTTON (READAC),CWLY
BC MACKENZIE AIRPOR,CYZY
BC MALAHAT (AUTOB),CWKH
BC MASSET,CZMT
BC MCINNES ISLAND,CWMS
BC MERRY ISLAND,CWMR
BC MT SICKER RADAR,CXSI
BC MUNCHO LAKE,CWWQ
BC NAKUSP (AUTOB),CWNP
BC NANAIMO AIRPORT,CYCD
BC NECHAKO RIVER AU,CWNX
BC NELSON (AUTOB),CWNM
BC NITINAT LAKE (MA,CWAC
BC NOOTKA LIGHTSTAT,CWCV
BC OSOYOOS (AUTOB),CWYY
BC P. MEADOWS CS AU,CWMM
BC PEMBERTON (AUTOB,CWGP
BC PEMBERTON (AUTOB,CYPS
BC PENTICTON AIRPOR,CYYF
BC PINE ISLAND (MAP,CWPI
BC PORT ALBERNI (MA,CWQC
BC PORT HARDY AIRPO,CYZT
BC POWELL RIVER ARP,CYPW
BC PRINCE GEORGE,CYXS
BC PRINCE GEORGE,CXPG
BC PRINCE RUPERT AR,CYPR
BC PRINCETON,CWPR
BC PRINCETON,CYDC
BC PUNTZI MTN (MARS,CWPU
BC QUATSINO (LGT ST,CWIF
BC QUESNEL AIRPORT,CYQZ
BC RACE ROCKS AUTOB,CWQK
BC REVELSTOKE AIRPO,CYRV
BC ROSE SPIT (MAPS),CWRO
BC SALMON ARM AUTOB,CWSL
BC SAND HEADS (LS),CWVF
BC SANDSPIT AIRPORT,CYZP
BC SARTINE ISL (MAP,CWFG
BC SATURNA ISL (MAP,CWEZ
BC SCUDDER POINT,CWZD
BC SHERINGHAM AUTOB,CWSP
BC SILVER STAR RADR,CXSS
BC SIKANNI CHIEF AU,CWKS
BC SISTERS IL AUTOB,CWGT
BC SMITHERS AIRPORT,CYYD
BC SOLANDER ISL (MA,CWRU
BC SPARWOOD (AUTOB),CWGW
BC SPARWOOD/ELK VAL,CWSW
BC SQUAMISH (AUTOB),CWSK
BC SQUAMISH (AUTOB),CYSE
BC STEWART AIRPORT,CZST
BC SUMMERLAND (AUTO,CWUS
BC TATLAYOKO LAKE,CXTL
BC TERRACE AIRPORT,CYXT
BC TETSA RIVER,CWTH
BC TOFINO AIRPORT,CYAZ
BC TRIPLE ISLAND (L,CWTI
BC VANCOUVER (AUTOB,CWHC
BC VANCOUVER INTL A,CYVR
BC VERNON (AUTOB),CWJV
BC VERNON BRIDGE,CWVK
BC VIC. HARTLAND AU,CWVV
BC VICTORIA (AUTOB),CWLM
BC VICTORIA HARBOUR,CYWH
BC VICTORIA INTL AR,CYYJ
BC VICTORIA UNIV,CWYJ
BC W VANCOUVER AUTO,CWWA
BC WHISTLER,CWAE
BC WHITE ROCK AUTOB,CWWK
BC WILLIAMS LAKE AR,CYWL
BC INGENIKA PT,CWWU
MB ARNES,CWRE
MB BERENS RIVER APT,CYBV
MB BERENS RIVER APT,CWCF
MB BRANDON AIRPORT,CYBR
MB CARMAN U OF M,CWNK
MB CHURCHILL AIRPOR,CYYQ
MB DAUPHIN AIRPORT,CYDN
MB DEERWOOD RCS,CXDW
MB DELTA MARSH CS,CZUG
MB EMERSON,CWEX
MB FISHER BRANCH(MA,CWSZ
MB FLIN FLON AIRPOR,CYFO
MB FOXWARREN RADAR,CXFW
MB GEORGE ISL (MAPS,CWWS
MB GILLAM AIRPORT,CYGX
MB GILLAM AIRPORT,CWGX
MB GIMLI,CYGM
MB GIMLI HARBOUR,CXGH
MB GRAND RAPIDS (MA,CWJD
MB GRETNA (MARS),CWGN
MB HUNTERS POINT MA,CWHH
MB ISLAND LAKE AIRP,CYIV
MB KELSEY DAM CS,CZKD
MB LYNN LAKE AIRPOR,CYYL
MB MELITA,CWEI
MB MORDEN,CXMD
MB PILOT MOUND (MAR,CWPO
MB PORTAGE SOUTHPOR,CYPG
MB SHILO,CWLO
MB SWAN RIVER (MARS,CWEQ
MB TADOULE LAKE CS,CXBQ
MB TADOULE LAKE,CYBQ
MB THE PAS AIRPORT,CYQD
MB THOMPSON AIRPORT,CYTH
MB VICTORIA BEACH,CWII
MB VIVIAN RADAR,CWVJ
MB WINNIPEG INTL AR,CYWG
MB WINNIPEG,CXWI
MB WINNIPEG FORKS,CXWN
MB NORWAY HOUSE ARP,CYNE
NB BATHURST ARPT(AW,CZBF
NB CHARLO AIRPORT,CZCR
NB CHIPMAN RADAR,CXNC
NB EDMUNSTON,CERM
NB FREDERICTON AIRP,CYFC
NB GAGETOWN  (CAN M,CYCX
NB GRAND MANAN,CXGM
NB MECHANIC SETTLE,CWMK
NB MIRAMICHI,CACQ
NB MISCOU ISL (MARS,CWMI
NB MONCTON AIRPORT,CYQM
NB POINT LEPREAU,CWPE
NB PT. ESCUMINAC(MA,CWPJ
NB SAINT JOHN,CYSJ
NB SAINT LEONARD AR,CYSL
NB ST LEONARD AUTOB,CWIY
NB ST. STEPHEN (MAR,CWSS
NB CHARLO AIRPORT,CYCL
NB CHATHAM,CYCH
NB MIRAMICHI (AU8),CWCQ
NL ARGENTIA (MARS),CWAR
NL BADGER (MARS),CWDI
NL BONAVISTA,CWVA
NL BURGEO,CWBF
NL CAPE KAKKIVIAK,CWKW
NL CAPE KIGLAPAIT,CWYK
NL CAPE RACE (MARS),CWRA
NL CARTWRIGHT,CWCA
NL CARTWRIGHT,CYCA
NL CHURCHILL FALLS,CZUM
NL DANIEL'S HARBOUR,CWDH
NL DEER LAKE AIRPOR,CYDF
NL ENGLEE (MAPS),CWDA
NL FEROLLE PT. (MAP,CWXI
NL GANDER INTL AIRP,CYQX
NL GOOSE BAY AIRPOR,CYYR
NL GRATES COVE,CWVW
NL HOLYROOD RADAR,CWTP
NL HOPEDALE (MAPS),CWHO
NL LA SCIE,CWAG
NL LONG POND,CWWU
NL MAKKOVIK AIRPORT,CYFT
NL MARBLE MTN RADAR,CXME
NL MARY'S HARBOUR,CYMH
NL NAIN AIRPORT,CYDP
NL PORT AUX BASQUES,CWZB
NL ROCKY HARBOUR,CXRH
NL SAGLEK (BAY),CWZZ
NL SAGONA ISL (MAPS,CWZN
NL SAINT ANTHONY,CWAX
NL SAINT ANTHONY,CWDW
NL SAINT ANTHONY AR,CYAY
NL ST JOHNS ARP,CYYT
NL ST JOHNS WEST,CXSW
NL STEPHENVILLE ARP,CYJT
NL TERRA NOVA,CXTP
NL TUKIALIK BAY,CWTU
NL TWILLINGATE (MAP,CWDO
NL WABUSH LAKE AIRP,CYWK
NL WRECKHOUSE,CXWR
NL ST PIERRE-FRANCE,LFVP
NS AMHERST (MARS),CWAH
NS BEAVER ISLAND(MA,CWBV
NS BRIER ISLAND(AUT,CWVU
NS CAPE GEORGE (AUT,CWGU
NS CARIBOU POINT(MA,CWBK
NS CHETICAMP,CXCH
NS DEBERT,CZDB
NS DIGBY ARPT (AWRS,CYID
NS FOURCHU HEAD(MAP,CWRW
NS GRAND ETANG (AUT,CWZQ
NS GREENWOOD (CAN M,CYZX
NS HALIFAX INTL ARP,CYHZ
NS HART ISLAND (MAP,CWRN
NS INGONISH BEACH,CXIB
NS KEJIMKUJIK (AU8),CWKG
NS KENTVILLE (AUTOB,CXKT
NS LUNENBURG,CXLB
NS MALAY FALLS,CXMY
NS MARION BRIDGE,CXMB
NS MCNABS ISLAND,CXMI
NS NAPPAN (AUTO),CXNP
NS NORTH MOUNTAIN,CXNM
NS PORT HAWKESBURY,CYPD
NS ROWAN GORILLA II,CWXO
NS SABLE ISLAND,CWSA
NS SABLE ISLAND(APT,CYSA
NS SHEARWATER(CAN M,CYAW
NS SHELBURNE,CWOS
NS ST. PAUL ISL(MAP,CWEF
NS SYDNEY AIRPORT,CYQY
NS TRACADIE,CXTD
NS TRENTON MUNICIPA,CYTN
NS TRURO (MARS),CWUR
NS WESTERN HEAD (MA,CWWE
NS YARMOUTH AIRPORT,CYQI
NT AKLAVIK AIRPORT,CYKD
NT CAPE PARRY AUTO4,CZCP
NT COLVILLE LAKE,CYVL
NT DEADMAN VALLEY,CXDK
NT DELINE,CXDE
NT EKATI (PWS),CYOA
NT FORT FRANKLIN AR,CYWJ
NT FORT GOOD HOPE A,CYGH
NT FORT LIARD AIRPO,CYJF
NT FORT MCPHERSON A,CZFM
NT FORT NORMAN AIRP,CZFN
NT FORT PROVIDENCE,CWID
NT FORT RESOLUTION,CYFR
NT FORT SIMPSON ARP,CYFS
NT FORT SIMPSON,CXFS
NT FORT SIMPSON,CZFS
NT FORT SMITH AIRPO,CYSM
NT FORT SMITH,CZSM
NT GATESHEAD ISLAND,CNGH
NT HAY RIVER AIRPOR,CYHY
NT HAY RIVER,CZHY
NT HANBURY RIVER,CWQY
NT HOLMAN ISLAND AR,CYHI
NT HOLMAN CS,CXHI
NT INDIAN RIVER,CWIE
NT INUVIK AIRPORT,CYEV
NT INUVIK,CZEV
NT JEAN MARIER,CXJM
NT KEATS POINT,CWKP
NT LAC LA MARTRE,CWMT
NT LINDBERG LANDING,CXLL
NT LIVERPOOL BAY,CWLI
NT LOWER CARP LAKE,CXLC
NT LUTSEL KE ARPT (,CYLK
NT LUTSEL KE CS,CXLU
NT MOULD BAY,CYMD
NT MOULD BAY CAMP,CWMD
NT NORMAN WELLS ARP,CYVQ
NT PAULATUK AIRPORT,CYPC
NT PELLY ISLAND,CWND
NT QAVVIK LAKE,CXQA
NT RAE LAKES,CYRA
NT RAE LAKES,CWYH
NT ROBERTSON LAKE,CWTD
NT SACHS HARBOUR(M,CYSY
NT TRAIL VALLEY,CXTV
NT TUKTOYAKTUK,CYUB
NT TUKTUT NOGAIT NP,CXTN
NT WEKWEETI,CYWE
NT WRIGLEY AIRPORT,CYWY
NT YELLOWKNIFE AIRP,CYZF
NT YOHIN,CXYH
NT CANADA/ARTCC,CZVE
NU ALERT,CWLT
NU ALERT AIRPORT,CYLT
NU ALERT,CZLT
NU ARCTIC BAY CS,CXAT
NU ARCTIC BAY,CYAB
NU ARVIAT AIRPORT,CYEK
NU ARVIAT CLIMATE,CXAR
NU BAKER LAKE AIRPO,CYBK
NU BAKER LAKE,CXBL
NU BREVOORT ISLAND,CWOB
NU QIKIQTARJUAQ,CYVM
NU BROUGHTON ISLAND,CWVD
NU BROWN RIVER,CWBR
NU CAMBRIDGE BAY AR,CYCB
NU CAMBRIDGE BAY,CXCM
NU CAPE DORSET AIRP,CYTE
NU CAPE DYER AIRPOR,CWFD
NU CAPE HOOPER,CWUP
NU CAPE MERCY,CWYM
NU CAPE PEEL WEST,CWPX
NU CHESTERFIELD INL,CYCS
NU COPPERMINE AIRPO,CYCO
NU CORAL HARBOUR AR,CYZS
NU CROKER RIVER,CWXR
NU CYLDE AIRPORT,CYCY
NU DEWAR LAKES,CWUW
NU ENNADAI LAKE (MA,CWJC
NU EUREKA,CWEU
NU EUREKA,CYEU
NU FROBISHER/IQALUI,CYFB
NU GJOA HAVEN AIRPO,CYHK
NU GJOA HAVEN,CZHK
NU GRISE FIORD AIR,CWGZ
NU HALL BEACH AIRPO,CYUX
NU HALL BEACH,CXUX
NU HAT ISLAND,CWIL
NU IGLOOLIK AIRPORT,CYGT
NU ISACHSEN (MAPS),CWIC
NU LADY FRANKLIN PO,CYUJ
NU LAKE HARBOUR ARP,CYLC
NU LONGSTAFF BLUFF,CWLX
NU LUPIN ARPT (SAWR,CYWO
NU LUPIN (MAPS),CWIJ
NU NANISIVIK AIRPOR,CYSR
NU PANGNIRTUNG AIRP,CYXP
NU PELLY BAY 1,CWRF
NU PELLY BAY AIRPOR,CYBB
NU POND INLET AIRPO,CYIO
NU RAE POINT,CZRP
NU RANKIN INLET ARP,CYRT
NU REPULSE BAY AIRP,CYUT
NU RESOLUTE AIRPORT,CYRB
NU RESOLUTE CS,CXRB
NU RESOLUTION IS,CWRH
NU ROWLEY ISLAND,CWRX
NU SANIKILUAQ AIRPO,CYSK
NU SHEPHERD BAY ARP,CYUS
NU SPENCE BAY AIRPO,CYYH
NU STEFANSSON IS,CXSE
NU WAGER BAY,CXWB
NU WHALE COVE AIRPO,CYXN
NU IQALUIT CLIMATE,CXFB
ON ARMSTRONG (MARS),CYYW
ON ATIKOKAN (AUT),CWCH
ON ATTAWAPISKAT,CYAT
ON BANCROFT AUTOB,CWRK
ON BARRIE (MARS),CWCU
ON BARRIE-ORO,CXBI
ON BEAUSOLEIL ISL A,CWPB
ON BELLE RIVER AUT0,CWDD
ON BIG TROUT LAKE,CWTL
ON BIG TROUT LAKE,CYTL
ON BORDEN,CYBN
ON BRITT (MARS),CWBI
ON BURLINGTON PIERS,CWWB
ON CAMERON FALLS,CXCA
ON CARIBOU ISL (MAP,CWCI
ON CHAPLEAU ARPT(SA,CYLD
ON CHATHAM,CYCK
ON COBOURG (MARS),CWNC
ON COLLINGWOOD (AUT,CWCO
ON COVE ISLAND (MAP,CWWX
ON CYPRUS LAKE CS,CXCY
ON DELHI CS (AUT),CXDI
ON DRYDEN AIRPORT,CYHD
ON DRYDEN,CXDR
ON EAR FALLS (AUT),CXEA
ON EARLTON AIRPORT,CYXR
ON EARLTON,CZXR
ON EGBERT CS,CXET
ON EGBERT (MAPS),CWET
ON ELLIOT LAKE (SAW,CYEL
ON ELORA RCS,CZEL
ON ERIEAU (MAPS),CWAJ
ON EXETER RADAR,CWSO
ON FT SEVERN,CYER
ON FRANKTOWN,CXFT
ON GERALDTON AIRPOR,CYGQ
ON GODERICH (AUTOB),CWGD
ON GORE BAY AIRPORT,CYZE
ON GREAT DUCK ISLAN,CWNL
ON GRENADIER ISLAND,CWGH
ON HAMILTON AIRPORT,CYHM
ON HAMILTON RBG CS,CXHM
ON HARROW CDA,CXHA
ON KAPUSKASING AIRP,CYYU
ON KAPUSKASING CDA,CXKA
ON KATATOTA ISLAND,CWKK
ON KEMPTVILLE,CXKE
ON KENORA AIRPORT,CYQK
ON KILLARNEY (MAPS),CWBE
ON KINGSTON ARPT (M,CYGK
ON KIRKLAND LAKE,CXKI
ON LADRIENNE RADAR,CXLA
ON LAGOON CITY,CWGL
ON LANSDOWNE HOUSE,CWLF
ON LANSDOWNE HOUSE,CYLF
ON LANSDOWNE HOUSE,CYLH
ON LONDON CS,CWSN
ON LONDON AIRPORT,CYXU
ON LONG POINT (MAPS,CWPS
ON MARATHON,CYSP
ON MONTREAL RIV HAR,CWGJ
ON MONTREAL RIV,CZGJ
ON MOOSONEE (SAWR),CYMO
ON MOOSONEE,CWZC
ON MOOSONEE RCS,CXZC
ON MOUNT FOREST(MAR,CWLS
ON MUSKOKA AIRPORT,CYQA
ON MUSKRAT DAM,CZMD
ON NAGAGAMI (MARS),CWNZ
ON NORTH BAY AIRPOR,CYYB
ON NORTHEAST ONT,CXTI
ON OGOKI POST,CYKP
ON OLIPHANT (AUTOB),CWDF
ON OSHAWA,CYOO
ON OTTAWA INTL,CYOW
ON OTTAWA CDA RCS,CXOA
ON N ONTARIO PORTAB,CXQT
ON PARRY SOUND,CXPC
ON PEAWANUCK,CYPO
ON PETAWAWA,CYWA
ON PETERBOROUGH ARP,CYPQ
ON PICKLE LAKE,CYPL
ON POINT PETRE (MAR,CWQP
ON PORT COLBORNE(AU,CWPC
ON PORT WELLER (MAR,CWWZ
ON PUKASKWA PARK,CWCJ
ON RAWSON LAKE,CYTA
ON RAWSON LAKE,CTRA
ON RED LAKE AIRPORT,CYRL
ON RIDGETOWN RCS,CXRG
ON ROQUEMAURE,CWGQ
ON S.E. SHOAL (MAPS,CWNB
ON SANDY LAKE,CZSJ
ON SARNIA AIRPORT,CYZR
ON SAULT STE MARIE,CYAM
ON SIOUX LOOKOUT AR,CYXL
ON ST. CATHARINES A,CYSN
QC STERLING,CYQC
ON SUDBURY AIRPORT,CYSB
ON SUPERIOR W RADAR,CXNI
ON TERRACE BAY (SAW,CYTJ
ON THUNDER BAY,CYQT
ON THUNDER BAY,CZTB
ON TIMMINS AIRPORT,CYTS
ON TORONTO BUTTONVI,CYKZ
ON TORONTO IL  VOR,CYTZ
ON TORONTO/PEARSON,CYYZ
ON TORONTO CITY,CXTO
ON TRENTON (CAN MIL,CYTR
ON TROWBRIDGE (MAPS,CWAB
ON UPPER RIDEAU LAK,CWJM
ON UPSALA (MARS),CWDV
ON UPSALA (RADAR),CWIM
ON VINELAND (AU8),CXVN
ON WATERLOO WELL,CYKF
ON WAWA AIRPORT,CYXZ
ON WELCOME ISLAND,CWEC
ON WESTERN ISL (MAP,CWMZ
ON WIARTON AIR,CYVV
ON WINDSOR AIRPORT,CYQG
ON SIMCOE (MARS),CWSI
ON KENORA/ONT VOR,CVBI
ON PICKLE LAKE,CWPL
ON ALFRED,CTAE
ON ALEXANDRIA,CTAL
ON MOOSE CREEK,CTCK
ON CORNWALL,CTCW
ON ALGONQUIN PARK,CTNK
ON WINCHESTER,CTWN
PE CHARLOTTETOWN AR,CYYG
PE CONFEDERATION BR,CXBP
PE EAST POINT (MARS,CWEP
PE MAPLE PLAINS PEI,CXMP
PE NORTH POINT (AUT,CWNE
PE ST PETERS,CZSP
PE SUMMERSIDE (AUTO,CWSD
PE SUMMERSIDE(CAN M,CYSU
PE HARRINGTON CDA,CAHR
QC AMQUI,CWZS
QC AKULIVIK AIRPORT,CYKO
QC AUPALUK,CYLA
QC BAGOTVILLE(CAN M,CYBG
QC BAIE COMEAU AIRP,CYBC
QC BARRAGE ANGLIERS,CWRC
QC BEAUCEVILLE,CWHV
QC BEAUPORT,CXBO
QC BLANC SABLON ARP,CYBX
QC BONNARD(AUTO),CWKD
QC BORDER (MAPS),CWTB
QC CAP CHAT (MAPS),CWSG
QC CAP D'ESPOIR (MA,CWRZ
QC CAP MADELEINE(MA,CWSF
QC CAP TOURMENTE,CWTN
QC CHAMOUCHOUANE AU,CWEE
QC CHAPAIS,CWUK
QC CHARLEVOIX (MRX),CWIS
QC CHARLEVOIX AIRPO,CYML
QC CHATHAM BROWNBRG,CMBB
QC CHEVERY (MARS),CWDM
QC CHIBOUGAMAU CHAP,CYMT
QC CHUTE DES PASSES,CWDT
QC DESCHAMBAULTS,CWHQ
QC EASTMAIN RIVER A,CZEM
QC FRELIGHSBURG,CWFQ
QC GASPE AIRPORT,CYGP
QC GATINEAU AIRPORT,CYND
QC HARRINGTON,CMHN
QC HAVRE ST PIERRE,CYGV
QC HEATH POINT (MAP,CWHP
QC HIGH FALLS CS (A,CXHF
QC ICE AUX GRUES,CWIG
QC ICE AUX PERROQUE,CWQR
QC ILE BICQUETTE,CWQO
QC ILE CHARRON,CWVZ
QC ILE D'ORLEANS(AU,CWER
QC ILE ROUGE(MAPS),CWAF
QC ILES DE LA MADEL,CYGR
QC ILES-DE-LA-MADEL,CWGR
QC INUKJUAK,CYPH
QC IVUJIVIK ARPT(SA,CYIK
QC JONQUIERE(AUTO),CWJO
QC KANGIKSUALUJJUAQ,CYLU
QC KANGIQSUJUAQ(SAW,CYKG
QC KANGIRSUK (SAWR),CYAS
QC KUUJJUAQ AIRPORT,CYVP
QC KUUJJUARAPIK ARP,CYGW
QC L'ACADIE,CWIZ
QC L'ASSOMPTION,CWEW
QC LA BAIE,CWUX
QC LA GRANDE III(SA,CYAD
QC LA GRANDE IV ARP,CYAH
QC LA GRANDE RIVIER,CYGL
QC LA POCATIERE,CWST
QC LA TUQUE,CWDQ
QC LAC EON (MAPS),CWEO
QC LAC MEMPHREMAGOG,CWTT
QC LAC ST PIERRE (A,CWBS
QC LATERRIERE,CXLT
QC LAUZON,CWLU
QC LENNOXVILLE,CWQH
QC LOCHABER,CMHB
QC LONGUE PT DE MON,CWBT
QC MANIWAKI,CWMJ
QC MANIWAKI,CWMW
QC MATAGAMI AIRPORT,CYNM
QC MCGILL RADAR,CWMN
QC MC TAVISH (AUT),CWTA
QC MISTOOK (AUT),CWIX
QC MONT JOLI AIRPOR,CYYY
QC MONT ORFORD,CWHY
QC MONTREAL EST,CWPQ
QC MONTREAL/DORVAL,CYUL
QC MONTREAL/DORVAL,CWTQ
QC MONTREAL/MIRABEL,CYMX
QC NATASHQUAN AIRP,CYNA
QC NEMISCAU ARPT(SA,CYHH
QC NEW CARLISLE1,CWOC
QC NICOLET (AUTOB),CWNQ
QC NORMANDIN,CWOD
QC ONATCHIWAY,CWXC
QC PARC DES LAURENT,CWPD
QC PARENT (MARS),CWPK
QC POINTE DES MONTS,CWTG
QC POINTE NOIRES CS,CWIP
QC PORT MENIER (MAR,CWBY
QC PUVIRGNITUQ,CYPX
QC POINTE CLAVEAU,CWQV
QC QUAQTAQ AIRPORT,CYHA
QC QUEBEC,CYQB
QC RAWDON,CMWD
QC RIVIERE DU LOUP,CWNH
QC ROBERVAL AIRPORT,CYRJ
QC ROUYN AIRPORT,CYUY
QC SAINT HUBERT ARP,CYHU
QC SAINT LOUIS,CMLI
QC SALLIUT ARPT (SA,CYZG
QC SCHEFFERVILLE AR,CYKL
QC SEPT ILES AIRPOR,CYZV
QC SEPT ILES,CXZV
QC SHAWINIGAN,CXSH
QC SHERBROOKE,CYSC
QC ST ANICET,CWBZ
QC ST FOY/U LAVAL,CWJB
QC ST GEDEON,CWIU
QC ST HENRI,CWIA
QC ST JOVITE (AUTOB,CWJT
QC ST CLOTHILDE (A,CWIT
QC STE ANNE DE BELL,CWVQ
QC TASIUJAQ A,CYTQ
QC TEMISCAMINQUE,CWBA
QC TROIS RIVIERES,CWTY
QC TROIS RIVIERES,CYRQ
QC UMIUJAQ,CYMU
QC VAL D'OR AIRPORT,CYVO
QC VALCARTIER AIRPO,CYOY
QC VARENNES,CWHM
QC VILLEROY RADAR,CWVY
QC WASKAGANISH AIRP,CYKQ
QC WEMINDJI,CYNC
QC INUKJUAK,CWPH
